"Rank","Artist Name","Country","Genre","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Monthly Streams 1m","Spotify Monthly Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Twitter Followers 1m","Twitter Followers Total","Twitter Likes 1m","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","Taylor Swift","United States","Pop","1","1","N/A","83778950","N/A","56354647712","N/A","99169121","581808709","3","N/A","53600000","N/A","28122879266","N/A","262504844","2","N/A","20800000","N/A","N/A","N/A","271014322","N/A","N/A","79793467","N/A","92547654","N/A","N/A","9932106","N/A","509288","N/A","N/A","4","N/A","N/A","N/A","73781","20","0","0","N/A","21.14341528863903"
"2","Ed Sheeran","United Kingdom","Pop","14","2","N/A","114483374","N/A","48112130749","N/A","77590279","504680491","34","N/A","53600000","N/A","33720712401","N/A","235360672","104","N/A","14200000","N/A","N/A","N/A","45028439","N/A","N/A","22925501","N/A","17385459","N/A","N/A","19195009","N/A","2464530","N/A","N/A","1","N/A","N/A","N/A","474","41","15","2853","N/A","15091.561495851836"
"3","The Weeknd","Canada","Pop","2","3","N/A","70181241","N/A","65782173962","N/A","111211738","580770743","9","N/A","33000000","N/A","23863278743","N/A","196883584","11","N/A","8100000","N/A","N/A","N/A","64044555","N/A","N/A","17746548","N/A","17293051","N/A","N/A","11542217","N/A","6646539","N/A","N/A","5","N/A","N/A","N/A","481","147","33","5063","N/A","9333.479777766528"
"4","Ariana Grande","United States","Pop","7","4","N/A","93090055","N/A","42383253639","N/A","66273634","387493818","6","N/A","52800000","N/A","27140781155","N/A","287106865","9","N/A","32600000","N/A","N/A","N/A","378664465","N/A","N/A","42845378","N/A","N/A","N/A","N/A","12133690","N/A","841074","N/A","N/A","62","N/A","N/A","N/A","83660","23","8","1071","N/A","3974.6195571647118"
"5","Eminem","United States","Hip Hop","9","5","N/A","75554298","N/A","50451097702","N/A","64325114","250177908","5","N/A","57200000","N/A","29217449849","N/A","253159930","119","N/A","5600000","N/A","N/A","N/A","39740778","N/A","N/A","95741077","N/A","22587423","N/A","N/A","16487038","N/A","1532619","N/A","N/A","133","N/A","N/A","N/A","21683","167","20","734","N/A","160.4343240795941"
"6","Justin Bieber","Canada","Pop","12","6","N/A","73825480","N/A","55401210315","N/A","72165185","456246973","7","N/A","71800000","N/A","44159943823","N/A","367391156","17","N/A","26900000","N/A","N/A","N/A","292923126","N/A","N/A","92229655","N/A","113221224","N/A","N/A","10290921","N/A","1306877","N/A","N/A","37","N/A","N/A","N/A","5455","80","25","3293","N/A","3988.1200099999696"
"7","Drake","Canada","Hip Hop","11","7","N/A","78767773","N/A","90535546631","N/A","75964918","484351051","16","N/A","28300000","N/A","29631342053","N/A","211331632","24","N/A","277000","N/A","N/A","N/A","142153570","N/A","N/A","52630513","N/A","39779677","N/A","N/A","22588226","N/A","3103778","N/A","N/A","93","N/A","N/A","N/A","1070","244","61","7834","N/A","4408.969804194402"
"8","Billie Eilish","United States","Pop","8","8","N/A","85067440","N/A","28853420435","N/A","72330825","373102968","45","N/A","48300000","N/A","13486094355","N/A","247353177","7","N/A","49800000","N/A","N/A","N/A","110144251","N/A","N/A","32514715","N/A","7201444","N/A","N/A","7234422","N/A","2026470","N/A","N/A","197","N/A","N/A","N/A","14714","29","1","87","N/A","384.6169379038689"
"9","Coldplay","United Kingdom","Rock","19","9","N/A","46676272","N/A","27818694170","N/A","66014687","390915132","30","N/A","25400000","N/A","19489561474","N/A","133775075","70","N/A","5700000","N/A","N/A","N/A","24696404","N/A","N/A","41034247","N/A","23662553","N/A","N/A","16235880","N/A","335954","N/A","N/A","14","N/A","N/A","N/A","19522","42","16","2919","N/A","4136.341737571879"
"10","Bad Bunny","Puerto Rico","Latin","10","10","N/A","73240213","N/A","67692556032","N/A","81065773","460572402","10","N/A","46300000","N/A","56631919589","N/A","357261371","191","N/A","31400000","N/A","N/A","N/A","45931358","N/A","N/A","14132811","N/A","4990935","N/A","N/A","6396315","N/A","887950","N/A","N/A","71","N/A","N/A","N/A","18277","25","3","1094","N/A","99.13852725842585"
